Algoritmo,Fase,N,Tempo(s),Comparacoes,Trocas
Selection,Ordenado->Crescente,200,0.001000,19900,0
Shell,Ordenado->Crescente,200,0.000000,1203,0
Quick_Lomuto,Ordenado->Crescente,200,0.003000,19900,20099
Quick_Hoare,Ordenado->Crescente,200,0.000000,20298,0
Merge,Ordenado->Crescente,200,0.008000,812,0
Radix,Ordenado->Crescente,200,0.003000,1200,1200
Heap,Ordenado->Crescente,200,0.001000,2587,1488
InsertionDesc,Crescente->Decrescente,200,0.001000,19900,19900
Bubble_Flag,Decrescente->Crescente,200,0.003000,19900,19900
Insertion,Decrescente->Crescente,200,0.001000,19900,19900
Selection,Decrescente->Crescente,200,0.000000,19900,100
Shell,Decrescente->Crescente,200,0.000000,1628,620
Quick_Lomuto,Decrescente->Crescente,200,0.002000,19900,10099
Quick_Hoare,Decrescente->Crescente,200,0.000000,20398,100
Merge,Decrescente->Crescente,200,0.001000,732,19900
Radix,Decrescente->Crescente,200,0.003000,1200,1200
Heap,Decrescente->Crescente,200,0.000000,2275,1206
Bubble_Flag,Desordenado->Crescente,250,0.003000,31047,13977
Insertion,Desordenado->Crescente,250,0.001000,14222,13977
Selection,Desordenado->Crescente,250,0.000000,31125,243
Shell,Desordenado->Crescente,250,0.001000,2551,1153
Quick_Lomuto,Desordenado->Crescente,250,0.000000,2194,1256
Quick_Hoare,Desordenado->Crescente,250,0.000000,2982,459
Merge,Desordenado->Crescente,250,0.003000,1653,13977
Radix,Desordenado->Crescente,250,0.004000,1500,1500
Heap,Desordenado->Crescente,250,0.000000,3232,1791
Bubble_Flag,Ordenado->Crescente,250,0.000000,249,0
Insertion,Ordenado->Crescente,250,0.000000,249,0
Selection,Ordenado->Crescente,250,0.000000,31125,0
Shell,Ordenado->Crescente,250,0.000000,1506,0
Quick_Lomuto,Ordenado->Crescente,250,0.004000,31125,31374
Quick_Hoare,Ordenado->Crescente,250,0.000000,31623,0
Merge,Ordenado->Crescente,250,0.005000,1011,0
Radix,Ordenado->Crescente,250,0.004000,1500,1500
Heap,Ordenado->Crescente,250,0.001000,3363,1928
InsertionDesc,Crescente->Decrescente,250,0.002000,31125,31125
Bubble_Flag,Decrescente->Crescente,250,0.005000,31125,31125
Insertion,Decrescente->Crescente,250,0.002000,31125,31125
Selection,Decrescente->Crescente,250,0.000000,31125,125
Shell,Decrescente->Crescente,250,0.001000,2191,925
Quick_Lomuto,Decrescente->Crescente,250,0.002000,31125,15749
Quick_Hoare,Decrescente->Crescente,250,0.000000,31748,125
Merge,Decrescente->Crescente,250,0.002000,983,31125
Radix,Decrescente->Crescente,250,0.003000,1500,1500
Heap,Decrescente->Crescente,250,0.001000,3007,1591
Bubble_Flag,Desordenado->Crescente,310,0.004000,47859,25242
Insertion,Desordenado->Crescente,310,0.002000,25547,25242
